index,mod_lectura_critica_punt,eco_condicion_tic
859,8.5,0.0
860,10.5,0.0
861,11.2,0.0
862,9.3,2.0
863,10.5,1.0
864,9.1,0.0
865,9.9,1.0
866,8.6,0.0
867,9.7,2.0
868,10.8,0.0
869,10.8,2.0
870,10.3,0.0
871,10.3,1.0
872,11.5,0.0
873,9.6,0.0
874,9.6,0.0
875,8.3,2.0
876,10.3,0.0
877,10.0,1.0
878,9.1,2.0
879,7.4,1.0
880,11.5,1.0
881,11.0,0.0
882,11.1,0.0
883,11.3,1.0
884,11.8,1.0
885,9.6,1.0
886,10.7,1.0
887,10.8,0.0
888,9.6,1.0
889,10.2,1.0
890,9.3,1.0
891,10.6,0.0
892,10.3,2.0
893,11.3,0.0
894,9.3,0.0
895,10.6,0.0
896,10.3,0.0
897,9.3,0.0
898,10.7,0.0
899,10.3,1.0
900,10.8,0.0
901,9.4,2.0
902,10.2,0.0
903,10.2,1.0
904,9.7,1.0
905,10.7,0.0
906,10.8,0.0
907,8.6,1.0
908,9.7,0.0
909,8.6,1.0
910,9.3,1.0
911,10.2,0.0
912,11.5,0.0
913,12.1,1.0
914,12.1,1.0
915,10.0,0.0
916,10.8,0.0
917,11.1,0.0
918,11.1,2.0
919,9.9,0.0
920,10.5,0.0
921,10.3,0.0
922,11.3,1.0
923,9.9,0.0
924,11.1,0.0
925,10.2,1.0
926,9.4,1.0
927,11.0,0.0
928,10.8,0.0
929,9.8,2.0
930,10.8,0.0
931,9.6,2.0
932,10.1,2.0
933,9.6,1.0
934,10.3,1.0
935,10.6,0.0
936,9.6,2.0
937,11.0,0.0
938,10.5,0.0
939,10.6,1.0
940,10.1,1.0
941,9.9,0.0
942,11.8,0.0
943,10.7,0.0
944,8.8,0.0
945,10.3,1.0
946,9.1,0.0
947,10.5,1.0
948,10.0,0.0
949,9.9,0.0
950,10.6,1.0
951,7.1,0.0
952,11.5,0.0
953,9.0,0.0
954,9.4,2.0
955,9.7,1.0
956,9.9,0.0
957,9.1,2.0
958,9.4,0.0
959,10.1,1.0
960,10.2,0.0
961,9.7,2.0
962,11.4,0.0
963,9.4,1.0
964,9.6,1.0
965,11.2,1.0
966,10.1,0.0
967,9.8,0.0
968,9.4,0.0
969,9.8,0.0
970,9.4,0.0
971,10.3,1.0
972,8.4,1.0
973,10.1,1.0
974,10.8,0.0
975,10.8,0.0
976,10.3,0.0
977,10.2,1.0
978,9.8,1.0
979,9.6,1.0
980,9.8,0.0
981,9.8,0.0
982,7.7,0.0
983,11.6,1.0
984,11.0,1.0
985,9.1,1.0
986,10.8,0.0
987,11.8,0.0
988,10.3,0.0
989,9.4,1.0
990,8.2,2.0
991,9.3,0.0
992,8.8,2.0
993,9.3,0.0
994,9.6,1.0
995,10.7,0.0
996,6.2,1.0
997,10.3,1.0
998,8.8,0.0
999,9.3,1.0
